"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"RC0805FR-0722KL","Yageo","311-22.0KCRCT-ND","","","Cut Tape (CT)","Active","2","0.15000","$0.30","1659902","16 Weeks","RES SMD 22K OHM 1% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"RC0805FR-07100KL","Yageo","311-100KCRCT-ND","","","Cut Tape (CT)","Active","1","0.15000","$0.15","7692015","16 Weeks","RES SMD 100K OHM 1% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"RC0805FR-07150KL","Yageo","311-150KCRCT-ND","","","Cut Tape (CT)","Active","1","0.15000","$0.15","1314015","16 Weeks","RES SMD 150K OHM 1% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"TAS5754MDCAR","Texas Instruments","296-40564-1-ND","","","Cut Tape (CT)","Active","1","9.27000","$9.27","1793","6 Weeks","IC AMP D MONO/STER 60W 48HTSSOP","ROHS3 Compliant","Lead free","REACH Unaffected"
"LT3652EMSE#PBF","Linear Technology/Analog Devices","LT3652EMSE#PBF-ND","","","Tube","Active","1","11.32000","$11.32","7953","8 Weeks","IC BATTERY CHARGER SOLAR 12MSOP","ROHS3 Compliant","Lead free","REACH Unaffected"
"LM74700QDBVTQ1","Texas Instruments","296-53420-1-ND","","","Cut Tape (CT)","Active","1","3.26000","$3.26","1324","6 Weeks","LOW IQ, IDEAL DIODE CONTROLLER","ROHS3 Compliant","Lead free","REACH Unaffected"
"SSM3K318R,LF","Toshiba Semiconductor and Storage","SSM3K318RLFCT-ND","","","Cut Tape (CT)","Active","1","0.60000","$0.60","1948","12 Weeks","MOSFET N-CH 60V 2.5A TSM","RoHS Compliant","Lead free","Not Available"
"CBC3225T220MR","Taiyo Yuden","587-1626-1-ND","","","Cut Tape (CT)","Active","1","0.49000","$0.49","8046","13 Weeks","FIXED IND 22UH 780MA 351 MOHM","ROHS3 Compliant","Lead free","Not Available"
"1255AY-4R7M=P3","Murata Electronics","490-10812-1-ND","","","Cut Tape (CT)","Active","4","0.73000","$2.92","753","13 Weeks","FIXED IND 4.7UH 4.5A 27.6 MOHM","ROHS3 Compliant","Lead free","Not Available"
"0393570004","Molex","WM7860-ND","","","Bag","Active","1","2.30000","$2.30","5434","8 Weeks","TERM BLK 4POS SIDE ENT 3.5MM PCB","ROHS3 Compliant","Lead free","Not Available"
"68000-406HLF","Amphenol ICC (FCI)","609-3263-ND","","","Bag","Active","1","0.39000","$0.39","6273","7 Weeks","CONN HEADER VERT 6POS 2.54MM","RoHS Compliant","Lead free","Not Available"
"SJ-43514","CUI Devices","CP-43514-ND","","","Tray","Active","1","1.52000","$1.52","38501","13 Weeks","CONN JACK 4COND 3.5MM R/A","RoHS Compliant","Lead free","Not Available"
"APBD3224ESGC-F01","Kingbright","754-1076-1-ND","","","Cut Tape (CT)","Active","1","0.80000","$0.80","133049","9 Weeks","LED GREEN/RED CLEAR SMD","ROHS3 Compliant","Lead free","REACH Unaffected"
"B340A-13-F","Diodes Incorporated","B340A-FDICT-ND","","","Cut Tape (CT)","Active","1","0.60000","$0.60","85671","9 Weeks","DIODE SCHOTTKY 40V 3A SMA","ROHS3 Compliant","Contains lead","REACH Unaffected"
"CC0805ZRY5V9BB104","Yageo","311-1361-1-ND","","","Cut Tape (CT)","Active","7","0.14000","$0.98","1679033","16 Weeks","CAP CER 0.1UF 50V Y5V 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"RC0805FR-0710KL","Yageo","311-10.0KCRCT-ND","","","Cut Tape (CT)","Active","3","0.15000","$0.45","36346716","16 Weeks","RES SMD 10K OHM 1% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"C0805C684K5RACAUTO","KEMET","399-15904-1-ND","","","Cut Tape (CT)","Active","5","0.49000","$2.45","12276","28 Weeks","CAP CER 0.68UF 50V X7R 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"ESP32-WROVER-B (M213DH6464PC3Q0)","Espressif Systems","1904-1034-1-ND","","","Cut Tape (CT)","Active","1","6.88000","$6.88","4005","4 Weeks","SMD MODULE ESP32-WROVER-B, ESP32","ROHS3 Compliant","Lead free","Not Available"
"RC0805JR-07270RL","Yageo","311-270ARCT-ND","","","Cut Tape (CT)","Active","1","0.15000","$0.15","427068","16 Weeks","RES SMD 270 OHM 5% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"RC0805FR-07680RL","Yageo","311-680CRCT-ND","","","Cut Tape (CT)","Active","1","0.15000","$0.15","570714","16 Weeks","RES SMD 680 OHM 1% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"B240S1F-7","Diodes Incorporated","B240S1F-7DICT-ND","","","Cut Tape (CT)","Active","2","0.59000","$1.18","1816","19 Weeks","DIODE SCHOTTKY 40V 2A SOD123F","ROHS3 Compliant","Contains lead","REACH Unaffected"
"BAV21HWF-7","Diodes Incorporated","BAV21HWF-7DICT-ND","","","Cut Tape (CT)","Active","1","0.52000","$0.52","75","19 Weeks","DIODE GP 200V 200MA SOD123F","ROHS3 Compliant","Lead free","REACH Unaffected"
"RC0805FR-07750KL","Yageo","311-750KCRCT-ND","","","Cut Tape (CT)","Active","1","0.15000","$0.15","268713","16 Weeks","RES SMD 750K OHM 1% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"EVP-BB2A9B000","Panasonic Electronic Components","P19888CT-ND","","","Cut Tape (CT)","Active","1","0.89000","$0.89","23521","13 Weeks","SWITCH TACTILE SPST-NO 0.02A 15V","RoHS Compliant","Lead free","Not Available"
"CJS-1200TA","Nidec Copal Electronics","563-1021-1-ND","","","Cut Tape (CT)","Active","1","1.26000","$1.26","81858","11 Weeks","SWITCH SLIDE SPDT 100MA 6V","ROHS3 Compliant","Lead free","REACH Unaffected"
"M50-3530242","Harwin Inc.","952-3598-ND","","","Box","Active","2","0.17000","$0.34","13759","10 Weeks","CONN HEADER VERT 2POS 1.27MM","ROHS3 Compliant","Lead free","REACH Unaffected"
"M50-1920005","Harwin Inc.","952-1727-ND","","","Bag","Active","1","0.50000","$0.50","2216","9 Weeks","CONN SHUNT 1.27MM RED","ROHS3 Compliant","Lead free","REACH Unaffected"
"5055670571","Molex","WM17041CT-ND","","","Cut Tape (CT)","Active","1","1.31000","$1.31","6517","12 Weeks","CONN HEADER SMD R/A 5POS 1.25MM","ROHS3 Compliant","Lead free","Not Available"
"5055650501","Molex","WM17046-ND","","","Bag","Active","1","0.37000","$0.37","17962","10 Weeks","CONN RCPT HSG 5POS 1.25MM","ROHS3 Compliant","Lead free","Not Available"
"TPS54202DDCT","Texas Instruments","296-44151-1-ND","","","Cut Tape (CT)","Active","1","2.40000","$2.40","11986","6 Weeks","IC REG BUCK ADJ 2A TSOT23-6","ROHS3 Compliant","Lead free","REACH Unaffected"
"RC0805FR-07174KL","Yageo","311-174KCRCT-ND","","","Cut Tape (CT)","Active","1","0.15000","$0.15","55153","16 Weeks","RES SMD 174K OHM 1% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"TPS22810DBVR","Texas Instruments","296-45297-1-ND","","","Cut Tape (CT)","Active","1","0.98000","$0.98","23515","6 Weeks","IC PWR SWITCH N-CHAN 1:1 SOT23-6","ROHS3 Compliant","Lead free","REACH Unaffected"
"RC0805FR-07110KL","Yageo","311-110KCRCT-ND","","","Cut Tape (CT)","Active","1","0.15000","$0.15","392755","16 Weeks","RES SMD 110K OHM 1% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"V5618A","Assmann WSW Components","AE10819-ND","","","Bulk","Active","1","0.61000","$0.61","12748","20 Weeks","HEATSINK ALUM ANOD","ROHS3 Compliant","Lead free","REACH Unaffected"
"PLT133/T10W","Everlight Electronics Co Ltd","1080-1430-ND","","","Bulk","Active","1","2.02000","$2.02","14567","20 Weeks","TRANSMITTER FBR OPT IR PHOTOLINK","ROHS3 Compliant","Lead free","Not Available"
"APT2012LSECK/J3-PRV","Kingbright","754-1935-1-ND","","","Cut Tape (CT)","Active","1","0.73000","$0.73","10364","9 Weeks","LED RED CLEAR 2SMD","ROHS3 Compliant","Lead free","REACH Unaffected"
"BZT52B2V4 RHG","Taiwan Semiconductor Corporation","BZT52B2V4RHGCT-ND","","","Cut Tape (CT)","Active","1","0.40000","$0.40","5562","26 Weeks","DIODE ZENER 2.4V 500MW SOD123F","ROHS3 Compliant","Lead free","Not Available"
"PJ-047AH","CUI Devices","CP-047AH-ND","","","Tray","Active","1","1.15000","$1.15","5647","11 Weeks","CONN PWR JACK 2X5.5MM SOLDER","RoHS Compliant","Lead free","Not Available"
"885012207100","Würth Elektronik","732-7675-1-ND","","","Cut Tape (CT)","Active","4","0.14000","$0.56","2409","14 Weeks","CAP CER 0.22UF 50V X7R 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"CL21B105KBFNFNE","Samsung Electro-Mechanics","1276-2928-1-ND","","","Cut Tape (CT)","Active","7","0.22000","$1.54","95579","22 Weeks","CAP CER 1UF 50V X7R 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"CL21A225KBFNNNE","Samsung Electro-Mechanics","1276-6702-1-ND","","","Cut Tape (CT)","Active","4","0.45000","$1.80","332112","22 Weeks","CAP CER 2.2UF 50V X5R 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"C2012X5R1V226M125AC","TDK Corporation","445-14428-1-ND","","","Cut Tape (CT)","Active","10","1.24000","$12.40","17690","12 Weeks","CAP CER 22UF 35V X5R 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"ERA-6AEB6343V","Panasonic Electronic Components","P634KDACT-ND","","","Cut Tape (CT)","Active","1","0.55000","$0.55","12484","13 Weeks","RES 634K OHM 0.1% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"ERA-6AEB4123V","Panasonic Electronic Components","P412KDACT-ND","","","Cut Tape (CT)","Active","1","0.55000","$0.55","9361","13 Weeks","RES 412K OHM 0.1% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"ASPI-4030S-100M-T","Abracon LLC","535-12314-1-ND","","","Cut Tape (CT)","Active","1","0.73000","$0.73","1264","15 Weeks","FIXED IND 10UH 1.5A 100 MOHM SMD","RoHS Compliant","Lead free","REACH Unaffected"
"RL0805FR-070R13L","Yageo","311-.13SCT-ND","","","Cut Tape (CT)","Active","1","0.55000","$0.55","64001","16 Weeks","RES 0.13 OHM 1% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"S2B-XH-A-1(LF)(SN)","JST Sales America Inc.","455-4226-ND","","","Bulk","Active","1","0.26000","$0.26","801","18 Weeks","CONN HEADER R/A 2POS 2.5MM","RoHS Compliant","Lead free","Not Available"
"RC0805FR-0725K5L","Yageo","311-25.5KCRCT-ND","","","Cut Tape (CT)","Active","1","0.15000","$0.15","336330","16 Weeks","RES SMD 25.5K OHM 1% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"